date, pm25
1/4/2024,172
2/4/2024,178
3/4/2024,194
4/4/2024,185
5/4/2024,189
6/4/2024,227
7/4/2024,209
8/4/2024,186
9/4/2024,197
10/4/2024,145
11/4/2024,101
12/4/2024,133
13/4/2024,113
14/4/2024,155
15/4/2024,139
16/4/2024,134
17/4/2024,137
18/4/2024,170
19/4/2024,172
20/4/2024,162
21/4/2024,157
22/4/2024,157
23/4/2024,159
24/4/2024,155
25/4/2024,159
26/4/2024,173
27/4/2024,158
28/4/2024,163
29/4/2024,162
1/1/2024,87
2/1/2024,71
3/1/2024,73
4/1/2024,76
5/1/2024,81
6/1/2024,75
7/1/2024,82
8/1/2024,93
9/1/2024,87
10/1/2024,82
11/1/2024,80
12/1/2024,75
13/1/2024,80
14/1/2024,95
15/1/2024,98
16/1/2024,82
17/1/2024,78
18/1/2024,73
19/1/2024,65
20/1/2024,63
21/1/2024,73
22/1/2024,86
23/1/2024,90
24/1/2024,105
25/1/2024,105
26/1/2024,97
27/1/2024,96
28/1/2024,113
29/1/2024,95
30/1/2024,92
31/1/2024,71
1/2/2024,63
2/2/2024,66
3/2/2024,78
4/2/2024,124
5/2/2024,106
6/2/2024,96
7/2/2024,95
8/2/2024,114
9/2/2024,119
10/2/2024,121
11/2/2024,116
12/2/2024,114
13/2/2024,107
14/2/2024,107
15/2/2024,101
16/2/2024,106
17/2/2024,101
18/2/2024,96
19/2/2024,83
20/2/2024,88
21/2/2024,81
22/2/2024,101
23/2/2024,130
24/2/2024,97
25/2/2024,107
26/2/2024,124
27/2/2024,148
28/2/2024,143
29/2/2024,122
1/3/2024,129
2/3/2024,143
3/3/2024,120
4/3/2024,118
5/3/2024,138
6/3/2024,171
7/3/2024,194
8/3/2024,175
9/3/2024,144
10/3/2024,153
11/3/2024,160
12/3/2024,153
13/3/2024,125
14/3/2024,174
15/3/2024,206
16/3/2024,197
17/3/2024,172
18/3/2024,183
19/3/2024,189
20/3/2024,139
21/3/2024,90
22/3/2024,115
23/3/2024,117
24/3/2024,148
25/3/2024,143
26/3/2024,164
27/3/2024,162
28/3/2024,158
29/3/2024,164
30/3/2024,170
31/3/2024,174
1/10/2023,33
2/10/2023,41
3/10/2023,44
4/10/2023,48
5/10/2023,58
6/10/2023,59
7/10/2023,47
8/10/2023,42
9/10/2023,43
10/10/2023,45
11/10/2023,53
12/10/2023,46
13/10/2023,45
14/10/2023,38
15/10/2023,39
16/10/2023,39
17/10/2023,52
18/10/2023,65
19/10/2023,66
20/10/2023,56
21/10/2023,59
22/10/2023,69
23/10/2023,60
24/10/2023,61
25/10/2023,68
26/10/2023,60
27/10/2023,64
28/10/2023,46
29/10/2023,50
30/10/2023,54
31/10/2023,34
1/11/2023,43
2/11/2023,53
3/11/2023,61
4/11/2023,57
5/11/2023,60
6/11/2023,58
7/11/2023,66
8/11/2023,64
9/11/2023,62
10/11/2023,64
11/11/2023,66
12/11/2023,66
13/11/2023,57
14/11/2023,52
15/11/2023,59
16/11/2023,59
17/11/2023,46
18/11/2023,65
19/11/2023,68
20/11/2023,68
21/11/2023,72
22/11/2023,76
23/11/2023,84
24/11/2023,80
25/11/2023,74
26/11/2023,79
27/11/2023,91
28/11/2023,86
29/11/2023,89
30/11/2023,99
1/12/2023,94
2/12/2023,78
3/12/2023,62
4/12/2023,63
5/12/2023,67
6/12/2023,68
7/12/2023,75
8/12/2023,76
9/12/2023,80
10/12/2023,63
11/12/2023,58
12/12/2023,76
13/12/2023,96
14/12/2023,106
15/12/2023,92
16/12/2023,77
17/12/2023,78
18/12/2023,78
19/12/2023,78
20/12/2023,71
21/12/2023,74
22/12/2023,76
23/12/2023,72
24/12/2023,86
25/12/2023,86
26/12/2023,91
27/12/2023,94
28/12/2023,94
29/12/2023,87
30/12/2023,79
31/12/2023,77
1/7/2023,53
2/7/2023,51
3/7/2023,49
4/7/2023,44
5/7/2023,47
6/7/2023,48
7/7/2023,48
8/7/2023,45
9/7/2023,54
10/7/2023,61
11/7/2023,47
12/7/2023,49
13/7/2023,42
14/7/2023,42
15/7/2023,55
16/7/2023,48
17/7/2023,55
18/7/2023,59
19/7/2023,58
20/7/2023,49
21/7/2023,46
22/7/2023,43
23/7/2023,51
24/7/2023,55
25/7/2023,58
26/7/2023,45
27/7/2023,47
28/7/2023,37
29/7/2023,42
30/7/2023,44
31/7/2023,44
1/8/2023,41
